response,rt,Post_Coherence,Pre_Coherence,Accuracy_initial,World_state,Decision_Initial,Confidence_Initial,subj_idx
1,0.8955,1,2,1,-1,1,0.332,1
1,0.72935,1,1,1,1,-1,-0.332,1
1,0.76379,2,2,1,-1,1,-0.668,1
1,0.82256,2,1,1,-1,1,-0.332,1
0,0.79702,2,2,-1,1,1,-0.332,1
1,0.79717,1,2,1,-1,1,-0.332,1
1,1.3633,1,1,-1,1,1,-0.332,1
0,0.79685,2,2,-1,-1,-1,0.332,1
1,0.73012,2,2,1,1,-1,-0.332,1
1,0.76343,1,2,1,-1,1,0,1
0,0.96338,1,2,-1,-1,-1,0,1
0,0.66325,1,2,-1,1,1,0.332,1
1,0.76352,2,1,1,1,-1,0,1
1,0.59641,2,2,1,1,-1,0.332,1
1,0.64636,2,2,1,1,-1,1,1
1,0.62978,1,2,1,-1,1,0,1
1,0.76309,1,2,1,-1,1,0.332,1
1,0.99647,2,2,1,1,-1,0.332,1
1,0.7964,1,1,1,1,-1,0,1
1,0.72962,2,2,1,-1,1,0,1
1,0.82832,1,1,1,-1,1,0,1
1,1.1962,2,2,1,1,-1,0.332,1
1,0.75439,1,2,1,-1,1,0.332,1
1,0.52944,2,1,-1,1,1,-0.332,1
1,0.69611,1,2,1,1,-1,0,1
1,0.81254,2,1,1,-1,1,-0.332,1
1,0.84383,1,1,1,1,-1,0,1
1,0.87913,2,1,1,-1,1,0.332,1
1,0.89701,1,2,1,-1,1,0,1
1,0.9979,2,2,1,-1,1,0,1
1,0.76453,2,1,-1,-1,-1,-1,1
0,0.798,1,2,-1,-1,-1,0,1
0,0.69769,2,2,-1,1,1,-0.332,1
0,0.76449,1,1,-1,1,1,0,1
1,0.79791,2,1,1,1,-1,0.332,1
0,0.73109,1,1,-1,1,1,-0.332,1
1,0.83104,2,1,1,-1,1,0,1
0,0.7979,1,2,-1,-1,-1,0,1
1,0.89789,1,1,1,1,-1,-0.668,1
1,0.89764,2,1,-1,1,1,-0.332,1
1,0.79791,1,1,1,1,-1,-0.332,1
1,0.79783,2,1,1,-1,1,-0.332,1
1,1.1311,2,2,1,1,-1,-0.332,1
1,0.89778,2,2,-1,-1,-1,0,1
1,0.73118,1,2,1,1,-1,-0.332,1
1,0.99789,1,1,1,-1,1,-0.332,1
1,0.69773,2,1,1,-1,1,-0.332,1
0,0.7979,1,1,1,-1,1,-0.332,1
1,0.76429,1,2,1,1,-1,0.332,1
1,0.69777,2,1,-1,-1,-1,-0.332,1
1,0.66458,2,1,1,-1,1,0,1
1,0.66462,1,2,1,1,-1,0.668,1
1,0.66457,2,2,1,1,-1,0.332,1
1,0.66445,1,2,1,1,-1,0,1
1,0.69782,2,1,1,-1,1,0.332,1
1,0.96449,1,2,-1,1,1,0,1
1,0.6979,2,2,1,1,-1,0,1
0,0.93074,1,2,1,-1,1,-0.332,1
1,0.86463,1,1,1,1,-1,-0.332,1
1,0.56467,2,2,-1,-1,-1,-0.332,1
1,0.79786,2,2,1,-1,1,0.332,1
1,0.73152,1,1,1,1,-1,-0.332,1
1,0.64721,2,2,1,1,-1,-0.332,1
1,0.6646,1,2,1,1,-1,0.332,1
1,0.49782,2,1,1,-1,1,-0.332,1
1,0.9146,1,1,1,-1,1,-0.332,1
1,0.6646,2,1,1,1,-1,0,1
0,0.8645,2,1,1,-1,1,-0.332,1
1,0.74767,1,1,1,-1,1,-0.332,1
1,0.69798,1,1,1,1,-1,-0.668,1
1,0.66454,1,2,1,1,-1,0,1
1,0.79773,2,1,1,1,-1,0,1
0,0.93119,2,1,1,-1,1,-0.332,1
1,0.69797,1,2,1,1,-1,0,1
1,0.63126,2,1,1,-1,1,0,1
1,0.63123,1,2,1,1,-1,0,1
1,0.86458,2,2,1,-1,1,0,1
1,0.66459,1,2,1,-1,1,0.332,1
1,0.66446,2,1,1,1,-1,0,1
1,0.66452,2,2,1,-1,1,-0.332,1
1,0.86461,1,2,1,-1,1,0.332,1
1,0.73128,2,1,1,1,-1,-0.332,1
1,0.69792,1,1,1,-1,1,-0.668,1
1,0.96463,1,2,-1,-1,-1,0,1
1,0.6312,2,2,1,1,-1,-0.332,1
1,0.61469,1,1,-1,1,1,0.332,1
1,0.63121,1,2,1,1,-1,1,1
1,0.63132,1,1,1,1,-1,0,1
