mean,std,2.5q,25q,50q,75q,97.5q,mc err
0.352445236,0.018790445,0.31791635,0.339379072,0.352066948,0.364576799,0.392147448,0.000431034
0.090274824,0.015106684,0.066241463,0.079546221,0.088422535,0.098911119,0.12378296,0.000348599
0.34918472,0.003151072,0.342401156,0.347202331,0.349376794,0.351412244,0.354734168,6.75E-05
0.535072872,0.006295841,0.521592971,0.530961545,0.535432015,0.53959525,0.545894941,0.000163608
0.405872813,0.004506015,0.39610427,0.403119603,0.406227283,0.409060081,0.413468741,9.54E-05
0.305322642,0.006436104,0.292481442,0.301063078,0.305537968,0.309742472,0.317573985,0.000153378
0.406965809,0.00413714,0.3977819,0.404462371,0.407322288,0.409858959,0.41402577,0.000103462
0.558364404,0.007227819,0.542769301,0.553878123,0.5591243,0.56339272,0.570956991,0.000177714
0.30383603,0.004711537,0.294032692,0.300726614,0.304118216,0.307173292,0.312233912,9.93E-05
0.336571895,0.006448004,0.322245421,0.332763521,0.337133455,0.34120239,0.347321703,0.00015914
0.341355438,0.003537914,0.333834368,0.339068544,0.341631272,0.343929431,0.347474089,6.97E-05
0.319791922,0.003999951,0.311091579,0.317212991,0.320092914,0.322642787,0.326699717,9.00E-05
0.324355204,0.005226115,0.313034277,0.321073637,0.32471847,0.328067058,0.33365803,0.000112108
0.332328446,0.004872731,0.32151701,0.329378235,0.332766157,0.335814853,0.340581903,0.000117131
0.182492377,0.005181089,0.1712714,0.179416815,0.182998006,0.18607116,0.19102174,0.000115425
0.38485202,0.006051255,0.371689519,0.380853075,0.385448178,0.38923866,0.395512568,0.000134466
0.394673643,0.004021385,0.385825802,0.392148411,0.395019662,0.397625511,0.401498086,9.61E-05
0.344845342,0.003742555,0.336511655,0.342493155,0.34504406,0.347453625,0.351369037,8.22E-05
0.40245624,0.005323305,0.391289786,0.399084049,0.402937427,0.406081342,0.411520827,0.000115027
0.246315956,0.006473454,0.233139493,0.242076623,0.246691529,0.251160959,0.257720015,0.000129883
0.391676674,0.004829106,0.380591735,0.388822647,0.392227092,0.395140264,0.399614436,9.95E-05
0.239080209,0.003602273,0.231242674,0.236702002,0.239381075,0.241635954,0.245246814,9.11E-05
0.263893636,0.004629417,0.253725534,0.260967374,0.2643132,0.267115329,0.271980262,9.52E-05
0.317590864,0.00602857,0.304551712,0.313931066,0.31789788,0.321700794,0.328675082,0.000132554
0.349703512,0.003315946,0.34228408,0.347736398,0.350051357,0.352042571,0.355188024,7.48E-05
0.064003267,0.012261181,0.041774628,0.055271664,0.063023226,0.071854716,0.090732441,0.001019617
0.04165495,0.031745094,0.001687257,0.01668616,0.034807355,0.059415124,0.121238953,0.001418959
0.063563675,0.012468081,0.041520293,0.054855098,0.062400308,0.071462698,0.090554973,0.00100676
0.064548857,0.012861421,0.041710194,0.055448492,0.063731031,0.072669011,0.093954559,0.001039395
0.064001454,0.012415191,0.041529018,0.055171982,0.063064567,0.072082029,0.091821876,0.001002958
0.064598878,0.012894114,0.04148217,0.055663912,0.063620136,0.072757492,0.094035679,0.001041705
0.063916912,0.012427574,0.041506347,0.05515443,0.062945267,0.071565198,0.090937123,0.00100862
0.064090981,0.012779564,0.041648865,0.055099751,0.063075464,0.072038312,0.092856962,0.001024807
0.063888839,0.012572179,0.041445074,0.054831234,0.063033161,0.071662392,0.090426444,0.001016914
0.064009729,0.012577476,0.041355565,0.055095921,0.063009922,0.07224887,0.090978502,0.00101785
0.063834254,0.012552031,0.041481536,0.054727273,0.062954334,0.071755226,0.09218514,0.00100173
0.063892288,0.012522233,0.041494445,0.055104816,0.062712588,0.071977923,0.090572222,0.001013683
0.064135379,0.012736894,0.041652996,0.055251585,0.063078296,0.072070861,0.093365808,0.001034037
0.063952651,0.012642222,0.041475895,0.054994035,0.062846074,0.071644189,0.092554823,0.001016906
0.063730254,0.012425612,0.0414554,0.05509615,0.062458184,0.071799801,0.090983673,0.001002631
0.064318094,0.012890711,0.041061693,0.055271887,0.063120313,0.072588249,0.093519442,0.001028574
0.064262843,0.012724861,0.041621237,0.055367732,0.063311321,0.072293947,0.092656065,0.001028786
0.063424899,0.012513348,0.040950954,0.054656379,0.06248622,0.070969185,0.091045993,0.001004174
0.06359845,0.012343774,0.041501058,0.054737794,0.062484906,0.071422243,0.090745384,0.00100382
0.063683323,0.01240674,0.041400458,0.055047896,0.062525819,0.071840476,0.090452863,0.001007021
0.063972687,0.012681102,0.041584894,0.055018779,0.062643721,0.071792331,0.091902572,0.001024317
0.063516962,0.012388074,0.041500267,0.054672515,0.062370173,0.07109136,0.090677687,0.00099281
0.064083275,0.012715527,0.041493012,0.054886123,0.063449342,0.071982518,0.092684152,0.001028358
0.064400969,0.012973631,0.041377415,0.055363476,0.06317769,0.072487616,0.092900244,0.001049468
0.063896542,0.012584871,0.041484589,0.055010908,0.06274548,0.071724618,0.092032768,0.00100858
0.042382414,0.029036316,-0.014412844,0.023430145,0.042625884,0.062245049,0.098595575,0.00055949
0.059681991,0.019304791,0.019176105,0.046854607,0.06039821,0.072910319,0.098164585,0.000526904
0.130167226,0.028898515,0.072115989,0.111441464,0.130461598,0.149616512,0.186896471,0.000637678
0.394796234,0.07358076,0.24994037,0.343907325,0.39479348,0.445523904,0.537592114,0.001861815
0.244178369,0.046404518,0.170992835,0.210901965,0.239587132,0.271045512,0.350613173,0.000943268
0.663349118,0.102931902,0.460789731,0.594415964,0.666050352,0.734459326,0.856570806,0.002470844
0.173225093,0.094738838,-0.009630137,0.108115977,0.173956365,0.236956463,0.364225529,0.002149034
0.519543872,0.099930556,0.3232334,0.451918538,0.520959371,0.587807897,0.718500239,0.002219412
0.765175714,0.102208289,0.570437314,0.695314043,0.764375227,0.834941811,0.968436405,0.002430829
0.162828056,0.101935963,-0.034882338,0.094556022,0.160988054,0.231208079,0.361709688,0.002552298
0.166031407,0.091935551,-0.015002489,0.102364008,0.166377544,0.229400201,0.341363231,0.00247085
0.492967314,0.100931997,0.29861233,0.424207805,0.493314636,0.561409436,0.695757601,0.002282765
0.433704602,0.088363128,0.259272094,0.37608241,0.435598503,0.492381458,0.601958843,0.001838383
0.441460244,0.107986041,0.226706264,0.370519698,0.44278409,0.509358632,0.66471113,0.002604918
0.534314764,0.10757935,0.325831185,0.461265705,0.534423736,0.603783359,0.749134334,0.002683149
0.429769745,0.101356823,0.226750172,0.363025648,0.427379168,0.499779943,0.640361458,0.002540955
0.268882816,0.091017773,0.091486924,0.208632478,0.267174352,0.330608728,0.444586004,0.00213977
-0.03411748,0.089817743,-0.208539776,-0.09394178,-0.033838057,0.027624013,0.14124117,0.002026014
0.392543162,0.088419025,0.216476165,0.334081863,0.391452791,0.452460643,0.567707031,0.001997434
0.100514792,0.095751409,-0.087142649,0.035473326,0.101114171,0.165240797,0.294384732,0.002266016
0.67941836,0.10527719,0.469875427,0.606728169,0.678744436,0.751699369,0.881125486,0.002588572
0.278737734,0.092559033,0.093655235,0.214853099,0.280759005,0.344265947,0.454062685,0.002284344
0.545154163,0.094521846,0.363527249,0.481161879,0.54127452,0.610068813,0.73516825,0.002551257
0.621002268,0.098059405,0.425535647,0.554869715,0.62239884,0.688446171,0.807478812,0.002163824
0.139296713,0.09874187,-0.057810237,0.076047846,0.138019262,0.205931049,0.338267313,0.002597357
0.646407381,0.100348775,0.452968025,0.575020923,0.646982959,0.71676197,0.835703427,0.002547598
